question_text,question_type,source,target_far_left,target_left,target_center_left,target_centrist,target_center_right,target_right,target_far_right,target_18-24,target_25-34,target_35-44,target_45-54,target_55-64,target_65+,notes
Should it be possible for a pregnant woman to obtain a legal abortion if she wants it for any reason?,gss_seed,GSS 2022-2024 pooled,0.8967,0.8889,0.8299,0.6245,0.4878,0.2239,0.2427,0.6531,0.5951,0.611,0.5534,0.546,0.543,binary; var=abany; weight=WTSSNRPS; national=0.5787 (n=3276)
Should legal abortion be possible if there is a strong chance of a serious defect in the baby?,gss_seed,GSS 2022-2024 pooled,0.9569,0.9144,0.9486,0.8494,0.8161,0.5369,0.5113,0.8049,0.7852,0.7661,0.7693,0.7979,0.8148,binary; var=abdefect; weight=WTSSNRPS; national=0.7921 (n=2647)
Should legal abortion be possible if a married woman wants no more children?,gss_seed,GSS 2022-2024 pooled,0.9191,0.87,0.8838,0.6084,0.4455,0.2172,0.2251,0.6226,0.5892,0.5925,0.5573,0.5205,0.5232,binary; var=abnomore; weight=WTSSNRPS; national=0.5645 (n=2644)
Should legal abortion be possible if the woman's own health is seriously endangered?,gss_seed,GSS 2022-2024 pooled,0.9797,0.9739,0.9827,0.9426,0.9437,0.8179,0.7408,0.9487,0.9221,0.9203,0.9008,0.9067,0.927,binary; var=abhlth; weight=WTSSNRPS; national=0.9185 (n=2697)
Should legal abortion be possible if the family has a very low income and cannot afford more children?,gss_seed,GSS 2022-2024 pooled,0.894,0.862,0.8412,0.5867,0.4428,0.2146,0.209,0.6401,0.5641,0.5894,0.5281,0.4907,0.5192,binary; var=abpoor; weight=WTSSNRPS; national=0.5522 (n=2657)
Should legal abortion be possible if the pregnancy resulted from rape?,gss_seed,GSS 2022-2024 pooled,0.958,0.9522,0.9608,0.8939,0.8753,0.6564,0.5236,0.9266,0.8338,0.8686,0.8331,0.8021,0.8287,binary; var=abrape; weight=WTSSNRPS; national=0.8428 (n=2668)
Should legal abortion be possible if the woman is not married and does not want to marry the man?,gss_seed,GSS 2022-2024 pooled,0.874,0.8655,0.8199,0.5673,0.4178,0.2222,0.2291,0.5907,0.5157,0.6029,0.5239,0.514,0.5019,binary; var=absingle; weight=WTSSNRPS; national=0.5385 (n=2658)
Do you have a great deal of confidence in banks and financial institutions?,gss_seed,GSS 2022-2024 pooled,0.1348,0.154,0.1382,0.189,0.177,0.1766,0.2434,0.2074,0.1744,0.1533,0.1367,0.1687,0.2216,rule=1of3_greatdeal; var=confinan; weight=WTSSNRPS; national=0.1747 (n=4517)
Do you have a great deal of confidence in major companies?,gss_seed,GSS 2022-2024 pooled,0.1058,0.1113,0.1078,0.1652,0.1533,0.1797,0.1527,0.1273,0.1679,0.1529,0.1536,0.152,0.1429,rule=1of3_greatdeal; var=conbus; weight=WTSSNRPS; national=0.149 (n=4457)
Do you have a great deal of confidence in organized religion?,gss_seed,GSS 2022-2024 pooled,0.1198,0.0772,0.1046,0.1373,0.147,0.2289,0.2795,0.2005,0.1334,0.1153,0.1009,0.1787,0.1947,rule=1of3_greatdeal; var=conclerg; weight=WTSSNRPS; national=0.154 (n=4428)
Do you have a great deal of confidence in education?,gss_seed,GSS 2022-2024 pooled,0.2568,0.212,0.2724,0.205,0.1435,0.1107,0.1278,0.2237,0.2498,0.2098,0.1469,0.1702,0.1712,rule=1of3_greatdeal; var=coneduc; weight=WTSSNRPS; national=0.1912 (n=4514)
Do you have a great deal of confidence in the executive branch of the federal government?,gss_seed,GSS 2022-2024 pooled,0.1555,0.2484,0.142,0.1087,0.07,0.0387,0.0416,0.0784,0.1183,0.1037,0.0995,0.1269,0.1254,rule=1of3_greatdeal; var=confed; weight=WTSSNRPS; national=0.1104 (n=4475)
Do you have a great deal of confidence in organized labor?,gss_seed,GSS 2022-2024 pooled,0.4108,0.1981,0.1896,0.1649,0.1107,0.1542,0.0581,0.2431,0.2053,0.1808,0.1146,0.1539,0.1401,rule=1of3_greatdeal; var=conlabor; weight=WTSSNRPS; national=0.1681 (n=3336)
Do you have a great deal of confidence in the press?,gss_seed,GSS 2022-2024 pooled,0.1307,0.1447,0.1233,0.0693,0.035,0.0261,0.035,0.0598,0.0742,0.0714,0.0717,0.0836,0.0784,rule=1of3_greatdeal; var=conpress; weight=WTSSNRPS; national=0.0737 (n=4484)
Do you have a great deal of confidence in medicine?,gss_seed,GSS 2022-2024 pooled,0.2955,0.4388,0.3986,0.2892,0.2549,0.2266,0.187,0.396,0.2763,0.2706,0.279,0.2814,0.3398,rule=1of3_greatdeal; var=conmedic; weight=WTSSNRPS; national=0.3006 (n=4514)
