item,family,n_countries,earth1_mae_pp,mrsp_mae_pp,naive_mae_pp,region_mae_pp,best,e1_minus_region_pp,beats_region,beats_all,text
Q11,other,63,7.63,8.09,8.77,8.31,earth1,-0.67,True,True,Should children be encouraged to learn imagination at home?
Q113,democracy/governance,61,17.77,16.33,18.75,15.72,region,2.05,False,False,Are state authorities in your country involved in corruption?
Q115,democracy/governance,60,12.93,13.53,16.21,13.13,earth1,-0.2,True,True,Are local authorities in your country involved in corruption?
Q117,democracy/governance,61,12.99,12.64,12.17,12.09,region,0.91,False,False,Are journalists and the media in your country involved in corruption?
Q12,other,63,12.17,9.24,11.11,8.59,region,3.58,False,False,Should children be encouraged to learn tolerance and respect for other people?
Q13,other,63,8.47,7.77,8.56,7.43,region,1.04,False,False,"Should children be encouraged to learn thrift, saving money and things?"
Q130,democracy/governance,62,12.4,13.7,12.91,12.02,region,0.38,False,False,"Should the government let anyone come who wants to, rather than restrict immigration?"
Q132,other,62,12.87,9.88,11.21,9.68,region,3.19,False,False,Do robberies occur frequently in your neighbourhood?
Q133,other,62,17.29,13.69,15.72,11.83,region,5.46,False,False,Is alcohol consumed in the streets in your neighbourhood?
Q134,security,61,7.61,5.72,7.16,5.61,region,2.0,False,False,Do police or the military interfere with people's private life in your neighbourhood?
Q135,other,62,7.64,7.14,7.49,6.75,region,0.89,False,False,Does racist behaviour occur in your neighbourhood?
Q136,other,62,14.11,10.92,12.45,9.51,region,4.6,False,False,Are drugs sold in the streets in your neighbourhood?
Q137,other,62,11.35,8.64,11.6,7.89,region,3.46,False,False,Do street violence and fights occur in your neighbourhood?
Q14,other,63,10.52,8.58,10.99,9.74,mrsp,0.78,False,False,Should children be encouraged to learn determination and perseverance?
Q141,other,58,5.9,4.82,4.79,5.06,naive,0.84,False,False,"Have you carried a knife, gun or other weapon for reasons of security?"
Q144,security,62,4.69,4.56,5.59,3.44,region,1.24,False,False,Have you been the victim of a crime during the past year?
Q15,religion/values,63,15.7,15.95,21.11,14.53,region,1.18,False,False,Should children be encouraged to learn religious faith at home?
Q151,security,62,12.64,10.72,13.22,11.07,mrsp,1.57,False,False,Would you be willing to fight for your country in a war?
