question_text,question_type,source,notes,target_AD,target_AM,target_AR,target_AU,target_BD,target_BO,target_BR,target_CA,target_CL,target_CN,target_CO,target_CY,target_CZ,target_DE,target_EC,target_EG,target_ET,target_GB,target_GR,target_GT,target_HK,target_ID,target_IN,target_IQ,target_IR,target_JO,target_JP,target_KE,target_KG,target_KR,target_KZ,target_LB,target_LY,target_MA,target_MM,target_MN,target_MO,target_MV,target_MX,target_MY,target_NG,target_NI,target_NL,target_NZ,target_PE,target_PH,target_PK,target_PR,target_RO,target_RS,target_RU,target_SG,target_SK,target_TH,target_TJ,target_TN,target_TR,target_TW,target_UA,target_US,target_UY,target_UZ,target_VE,target_VN,target_ZW
Most people can be trusted,wvs_seed,WVS Wave 7,wvs_code=Q57;rule=binary_yes=1,0.255744,0.085126,0.201043,0.489365,0.129274,0.085979,0.066479,0.466930,0.131858,0.639795,0.045395,0.067565,0.370389,0.459514,0.058624,0.073517,0.119086,0.452085,0.085268,0.179821,0.365648,0.046381,0.171398,0.112436,0.148396,0.159699,0.355972,0.095847,0.129058,0.329317,0.238916,0.099167,0.092687,0.165000,0.150833,0.260514,0.438017,0.213242,0.105053,0.195735,0.130829,0.042500,0.612056,0.595025,0.041732,0.053399,0.234967,0.178315,0.115518,0.166181,0.235571,0.346219,0.220053,0.305733,0.205833,0.142491,0.142616,0.307918,0.308917,0.371821,0.145690,0.347107,0.142017,0.276667,0.021417
Would not want as neighbours: drug addicts,wvs_seed,WVS Wave 7,wvs_code=Q18;rule=neighbor_mentioned,0.749004,0.956286,0.723295,0.935363,0.814846,0.833333,0.670034,0.897475,0.867806,0.965235,0.702632,0.758579,0.907051,0.697965,0.760000,0.923333,0.920492,0.823145,0.702563,0.626526,0.892225,0.943851,0.898205,0.660833,0.871915,0.964256,0.994052,0.856214,0.892249,0.980723,0.917712,0.584167,0.849498,0.831667,0.979167,0.742223,0.471513,0.908566,0.772700,0.939071,0.906796,0.611667,0.895479,0.802271,0.854441,0.954434,0.525313,0.442768,0.836687,0.960615,0.884096,0.835759,0.929373,0.887569,0.951667,0.673250,0.894912,0.971997,0.679288,0.954332,0.572473,0.876000,0.861345,0.988333,0.867720
Would not want as neighbours: people of different race,wvs_seed,WVS Wave 7,wvs_code=Q19;rule=neighbor_mentioned,0.038845,0.278751,0.027408,0.038534,0.323181,0.052778,0.013797,0.044886,0.069025,0.183967,0.101974,0.156129,0.207312,0.027577,0.060000,0.165000,0.165574,0.018324,0.244417,0.301871,0.109452,0.090864,0.260590,0.318333,0.276184,0.243558,0.147416,0.069862,0.256858,0.151807,0.103448,0.359167,0.084448,0.135000,0.704167,0.205848,0.448835,0.259865,0.114289,0.054836,0.158218,0.197500,0.046670,0.027436,0.069533,0.204934,0.253133,0.092280,0.143681,0.295869,0.156952,0.020948,0.226923,0.321484,0.241667,0.218997,0.418771,0.076435,0.266147,0.031902,0.006275,0.141600,0.078992,0.624167,0.052413
Would not want as neighbours: people with AIDS,wvs_seed,WVS Wave 7,wvs_code=Q20;rule=neighbor_mentioned,0.113546,0.539664,0.039798,0.148424,0.668071,0.223509,0.064007,0.198641,0.152917,0.776680,0.225000,0.396598,0.418327,0.061720,0.180000,0.568333,0.317213,0.046629,0.352265,0.298617,0.417813,0.585980,0.686550,0.539167,0.814543,0.876143,0.530395,0.075548,0.662440,0.928514,0.583072,0.457500,0.268395,0.425833,0.850833,0.475613,0.434696,0.357074,0.199139,0.451637,0.540421,0.264167,0.063685,0.092715,0.289126,0.578455,0.346867,0.120674,0.348332,0.626804,0.539833,0.256943,0.385210,0.488613,0.770833,0.281850,0.737684,0.604759,0.397872,0.131395,0.038684,0.635200,0.310924,0.946667,0.074875
Would not want as neighbours: immigrants/foreign workers,wvs_seed,WVS Wave 7,wvs_code=Q21;rule=neighbor_mentioned,0.026892,0.166169,0.041235,0.088674,0.407567,0.102222,0.025586,0.087605,0.131626,0.262132,0.140789,0.205705,0.339609,0.039396,0.104167,0.200000,0.162295,0.054056,0.258001,0.294548,0.089618,0.165720,0.475376,0.385000,0.418279,0.275977,0.300534,0.069862,0.208866,0.220080,0.213950,0.401667,0.232441,0.231667,0.728333,0.292610,0.460993,0.236486,0.136035,0.505712,0.133832,0.205000,0.208556,0.047304,0.183460,0.167300,0.301754,0.094055,0.231077,0.542747,0.322776,0.112589,0.288345,0.388760,0.197500,0.250000,0.494043,0.216630,0.298346,0.085231,0.032581,0.092000,0.103361,0.527500,0.049917
Would not want as neighbours: homosexuals,wvs_seed,WVS Wave 7,wvs_code=Q22;rule=neighbor_mentioned,0.051793,0.831138,0.085728,0.117539,0.798623,0.290000,0.067767,0.102233,0.277220,0.718780,0.280921,0.401438,0.181266,0.064347,0.315000,0.840000,0.696721,0.041315,0.334337,0.406021,0.239496,0.742834,0.726783,0.550833,,0.937656,0.271483,0.751422,0.733119,0.795984,0.734326,0.476667,0.626254,0.799167,0.913333,0.457574,0.436181,0.854668,0.227558,0.603960,0.890461,0.332500,0.023335,0.075686,0.354963,0.177943,0.411529,0.125111,0.573916,0.626321,0.662042,0.256672,0.400091,0.356562,,0.578534,0.785408,0.415827,0.495176,0.135101,0.046741,0.241600,0.315966,0.760833,0.900998
Would not want as neighbours: people of a different religion,wvs_seed,WVS Wave 7,wvs_code=Q23;rule=neighbor_mentioned,0.038845,0.360086,0.021853,0.033617,0.342061,0.072778,0.025397,0.059435,0.059140,0.313375,0.130921,0.160622,0.097730,0.028234,0.141667,0.134167,0.113934,0.016218,0.216306,0.327095,0.055746,0.160819,0.283352,0.347500,0.338225,0.236076,0.192982,0.038180,0.324477,0.055422,0.095611,0.311667,0.199833,0.236667,0.711667,0.254082,0.446701,0.511561,0.140097,0.067784,0.134082,0.215833,0.025280,0.016083,0.071072,0.125846,0.318797,0.110914,0.066367,0.251681,0.112714,0.020476,0.113963,0.251269,0.264167,0.341442,0.423614,0.045597,0.247339,0.027704,0.027057,0.704000,0.093277,0.500000,0.054077
Would not want as neighbours: heavy drinkers,wvs_seed,WVS Wave 7,wvs_code=Q24;rule=neighbor_mentioned,0.620518,0.824582,0.375015,0.740580,0.798817,0.550000,0.299919,0.795439,0.591242,0.836194,0.397368,0.655238,0.777950,0.732108,0.509167,0.876667,0.772951,0.571033,0.575883,0.573637,0.758391,0.625374,0.850886,0.576667,0.903936,0.921031,0.782080,0.644192,0.731740,0.623293,0.800157,0.500000,0.566890,0.778333,0.937500,0.763911,0.467980,0.873917,0.552862,0.828637,0.771516,0.440000,0.760331,0.631031,0.702799,0.670325,0.564912,0.322094,0.755636,0.878002,0.783065,0.705060,0.786809,0.646145,0.847500,0.691113,0.740803,0.888447,0.690582,0.746079,0.310085,0.256800,0.496639,0.951667,0.651414
Would not want as neighbours: unmarried couples living together,wvs_seed,WVS Wave 7,wvs_code=Q25;rule=neighbor_mentioned,0.015936,0.227539,0.010734,0.024539,0.777021,0.045556,0.012699,0.037982,0.032694,0.399972,0.100658,0.140467,0.026996,0.006566,0.084167,,0.231967,0.008066,0.080451,0.308381,0.065801,0.700794,0.681746,0.513333,0.760507,0.812968,0.204718,0.065800,0.178922,0.080321,0.075235,0.413333,0.387124,0.590000,0.905000,0.152615,0.436548,0.698459,0.111258,0.405941,0.297211,0.181667,0.002917,0.015137,0.058697,0.159660,0.362907,0.101154,0.053832,0.091258,0.040541,0.056623,0.034476,0.271327,0.531667,0.596370,0.577787,0.130552,0.257774,0.054299,0.018233,0.076000,0.057143,0.653333,0.243760
Would not want as neighbours: people who speak a different language,wvs_seed,WVS Wave 7,wvs_code=Q26;rule=neighbor_mentioned,0.017928,0.149326,0.039707,0.100845,0.469370,0.067778,0.064672,0.077675,0.057174,0.192312,0.090132,0.094427,0.118813,0.049245,0.142500,0.256667,0.070847,0.042528,0.135287,0.320586,0.073324,0.104073,0.255321,0.402500,0.313542,0.228595,0.085283,0.026807,0.121801,0.128514,0.040752,0.303333,0.086957,0.169167,0.707500,0.156406,0.423780,0.177264,0.125295,0.041127,0.096373,0.213333,0.107924,0.044465,0.052819,0.321567,0.254637,0.122449,0.059781,0.155620,0.126262,0.019846,0.101324,0.256856,0.122500,0.241768,0.369408,0.070142,0.282400,0.092934,0.042451,0.068910,0.122689,0.498333,0.056572
